투수명,연도,K/9,BB/9,HR/9,FIP*,ERA*,RA9*,보정FIP,보정피안타,PAI(100),시뮬_안타,시뮬_아웃,시뮬_피안타율
가내영,1992,4.12,3.95,0.84,98.56731582190812,81.39738955525537,86.00173025561382,95.44127929558802,82.63768894295907,91.60020218979933,298,702,0.298
가내영,1993,4.0,2.39,0.63,105.6772689006182,101.93521501118632,108.86897086984503,100.77254401927462,99.47517399419557,100.3833330117509,260,740,0.26
가내영,1994,3.97,2.12,0.79,87.05122969863221,66.4831026435558,67.91835635185983,97.02652145589836,79.96866607705677,91.90916484224587,292,708,0.292
가내영,1995,5.1,2.13,1.02,97.45515428427314,74.55352466282159,77.16474781842463,96.53381036459821,84.57410573876267,92.94589897684753,290,710,0.29
가내영,1996,6.29,2.1,0.68,122.05285900791267,114.90215176661896,109.79382958028368,115.61734400041239,104.00988261445535,112.13510558462526,218,782,0.218
가내영,1997,5.25,3.04,1.52,76.19406765225713,65.03431982934926,67.70211797090147,79.41552898648091,82.92248644893175,80.46761622521616,310,690,0.31
가내영,1998,4.04,1.8,0.9,84.68986163851827,83.75745188326944,89.18779360353147,94.98567446167283,101.96467090304904,97.07937339408568,286,714,0.286
가내영,1998,4.04,1.8,0.9,84.68986163851827,83.75745188326944,89.18779360353147,94.98567446167283,101.96467090304904,97.07937339408568,286,714,0.286
가내영,1999,6.36,3.72,1.47,94.07278204402404,91.14740414504107,93.2550495156966,90.50481320183106,94.08078773537594,91.57760556189452,315,685,0.315
가내영,2000,6.79,1.7,2.97,59.49655206067116,52.91303019999295,58.23250149978749,69.30729903169407,77.06338552653291,71.63412498014573,364,636,0.364
가내영,2001,5.27,3.73,1.76,71.69433573257996,72.0521796340876,67.57079112062581,79.17309851921036,92.87257486396786,83.2829414226376,330,670,0.33
가내영,2001,5.27,3.73,1.76,71.69433573257996,72.0521796340876,67.57079112062581,79.17309851921036,92.87257486396786,83.2829414226376,339,661,0.339
가내영,2002,6.48,2.88,0.72,96.22684176287486,145.2275854094185,102.07053807149934,111.13838700778781,82.25346770490489,102.47291121692294,273,727,0.273
가뇽,2020,7.97,3.62,0.4,139.6576395760499,119.40025994315863,117.18357183942588,128.13747028147918,100.35539988139385,119.80284916145358,224,776,0.224
가득염,1992,4.78,5.98,0.9,78.20163621012617,56.30335792688141,58.09776737655775,87.73540954319914,96.96541335849201,90.504410687787,289,711,0.289
가득염,1993,6.4,4.15,0.17,111.57402699186486,92.8616746668379,100.10572117207586,119.2365309265991,101.75540985952091,113.99219460647564,204,796,0.204
가득염,1994,4.61,3.61,0.61,105.78965690627803,97.31318578275237,104.44482252170155,94.677313174351,92.05469420803256,93.89052748445546,286,714,0.286
가득염,1995,6.92,3.74,0.75,97.88830917698596,91.9977893643035,88.04914686869931,96.06151391089853,106.11803942545792,99.07847156526634,242,758,0.242
가득염,1996,4.85,4.49,1.62,61.52834624344019,87.52954805754777,80.4180620019072,65.67049820931663,93.32772195638768,73.96766533343794,316,684,0.316
가득염,1997,5.27,4.17,0.66,91.05424902909844,64.5625487783009,69.23404029417046,99.21169150484417,81.21770305883568,93.81349497104162,296,704,0.296
가득염,1998,5.18,3.63,0.86,88.32244792450841,89.9003946873903,93.02239189107205,94.7956664667537,100.49549813838632,96.50561596824349,296,704,0.296
가득염,1999,6.23,2.93,0.92,110.78465479997688,104.44454463747294,105.40240331743983,120.2583579802588,98.87920413864786,113.84461182777551,271,729,0.271
가득염,2000,6.91,3.36,1.49,81.40526766792821,81.9349894529608,76.53201691378068,88.37500250534558,102.78204309112138,92.69711468107832,308,692,0.308
가득염,2001,7.53,2.69,0.72,121.5851870250797,101.73285657849608,87.56370331728213,132.1189053343438,89.4447896851053,119.31667063957224,236,764,0.236
가득염,2002,5.36,3.21,1.79,68.17779551542915,65.01429527643757,60.3974410335854,79.17811677710115,75.40851893611948,78.04723742480664,351,649,0.351
가득염,2003,7.41,2.3,0.77,115.03007762368499,64.62095477841274,71.01251279169304,131.1229784042053,103.73959052915467,122.9079620416901,218,782,0.218
가득염,2004,5.61,4.71,0.45,101.3675949229298,78.2625904662642,82.45062169128781,113.43457277824899,92.93260023134101,107.28398101417659,241,759,0.241
가득염,2005,8.22,0.39,0.0,191.0657883398834,100.65604917898267,110.91826667507715,227.00042251319357,114.59604270385235,193.2791085703912,129,871,0.129
가득염,2006,6.87,4.81,0.69,86.39206002769006,60.68163218619406,67.64871961166021,100.89205702303417,100.4093362337517,100.74724078624942,250,750,0.25
가득염,2007,4.71,3.14,0.45,94.99515741327907,85.85367413265706,94.45220255881995,107.38446928333799,103.90037142177624,106.33923992486946,270,730,0.27
가득염,2008,6.71,2.52,1.4,76.94333516282518,65.67488980151683,60.072705629879046,87.3131900068879,83.69363458176173,86.22732337935004,301,699,0.301
가득염,2009,3.38,5.62,2.25,51.331012624953644,57.50025385795453,62.694340716276805,63.365559228118876,110.83065370532145,77.60508757127965,368,632,0.368
가득염,2010,6.71,5.59,0.56,85.49598812580213,86.62410063798907,84.4416625059455,102.4073774292738,109.91251812942068,104.65891963931786,279,721,0.279
가르시아A,2000,5.54,3.26,0.33,118.67136815992437,148.61580095760348,113.3508559013193,126.18989370465971,117.61744521367112,123.61815915736312,220,780,0.22
가빌리오,2021,7.77,3.33,0.78,107.24836642611533,73.62527085815758,79.58287993484223,110.37522138610882,87.98034792067281,103.65675934647801,267,733,0.267
갈베스,2001,6.58,2.63,0.54,137.98353927479468,197.16676502600237,167.08427086908694,133.37873977899287,111.8055212578072,126.90677422263715,228,772,0.228
감병훈,1996,6.43,21.43,4.29,18.916814628329668,12.165000757014882,13.710338068780855,22.842596322929534,61.065231930025874,34.30938700505843,418,582,0.418
감병훈,1997,4.46,6.24,0.0,84.0722118955417,54.68646493596086,53.29397325153041,101.25030589500291,62.37658941553123,89.5881909511614,291,709,0.291
감사용,1982,1.55,3.18,1.69,83.67223128966806,71.2882595707353,79.95008505592496,70.26974764326303,79.13389952464166,72.92899320767661,331,669,0.331
감사용,1983,4.46,2.98,0.74,87.90645973242972,95.23041908557379,77.94579216016388,104.04614350067727,94.12928293556304,101.07108533114301,266,734,0.266
감사용,1985,5.08,2.39,1.5,73.66474264425389,49.044101638511584,54.99589968142512,80.96234958659258,77.89466181890658,80.04204325628677,309,691,0.309
강규성,1989,1.29,6.43,1.29,47.39048649765303,78.10214716994614,87.83994684906348,58.64320541670573,93.10634723533563,68.9821479622947,301,699,0.301
강규성,1990,4.13,6.65,0.36,80.509662010094,75.9700926953017,83.29584819014595,88.09555612678135,97.91554425178033,91.04155256428103,249,751,0.249
강길용,1991,3.91,5.04,0.86,91.88704339352448,100.91267386283788,100.12863492259399,80.56118793420801,93.24359010302443,84.36590858485293,330,670,0.33
